iter	Passed	Remaining
786	4509	1220
787	4512	1214
788	4515	1207
789	4518	1201
790	4521	1194
791	4525	1188
792	4528	1182
793	4531	1175
794	4534	1169
795	4537	1162
796	4540	1156
797	4544	1150
798	4547	1143
799	4550	1137
800	4553	1131
801	4556	1124
802	4559	1118
803	4562	1112
804	4565	1106
805	4569	1099
806	4572	1093
807	4575	1087
808	4578	1080
809	4581	1074
810	4585	1068
811	4588	1062
812	4591	1056
813	4594	1049
814	4598	1043
815	4601	1037
816	4604	1031
817	4608	1025
818	4611	1019
819	4614	1012
820	4618	1006
821	4621	1000
822	4624	994
823	4627	988
824	4630	982
825	4633	976
826	4636	969
827	4640	963
828	4642	957
829	4645	951
830	4648	945
831	4651	939
832	4654	933
833	4657	927
834	4660	920
835	4663	914
836	4666	908
837	4669	902
838	4672	896
839	4675	890
840	4678	884
841	4681	878
842	4684	872
843	4687	866
844	4690	860
845	4693	854
846	4696	848
847	4699	842
848	4702	836
849	4705	830
850	4708	824
851	4711	818
852	4714	812
853	4717	806
854	4720	800
855	4723	794
856	4726	788
857	4729	782
858	4732	776
859	4735	770
860	4738	765
861	4742	759
862	4744	753
863	4747	747
864	4750	741
865	4753	735
866	4756	729
867	4759	723
868	4762	717
869	4766	712
870	4768	706
871	4772	700
872	4775	694
873	4777	688
874	4781	683
875	4784	677
876	4787	671
877	4790	665
878	4793	659
879	4796	654
880	4799	648
881	4803	642
882	4806	636
883	4809	631
884	4812	625
885	4815	619
886	4818	613
887	4821	608
888	4824	602
889	4827	596
890	4830	590
891	4833	585
892	4836	579
893	4839	573
894	4842	568
895	4845	562
896	4849	556
897	4851	551
898	4854	545
899	4857	539
900	4860	534
901	4863	528
902	4866	522
903	4870	517
904	4873	511
905	4876	505
906	4879	500
907	4882	494
908	4885	489
909	4888	483
910	4891	477
911	4894	472
912	4897	466
913	4900	461
914	4903	455
915	4906	449
916	4909	444
917	4912	438
918	4916	433
919	4919	427
920	4922	422
921	4925	416
922	4928	411
923	4931	405
924	4934	400
925	4937	394
926	4940	389
927	4943	383
928	4946	378
929	4949	372
930	4952	367
931	4955	361
932	4957	356
933	4960	350
934	4963	345
935	4966	339
936	4970	334
937	4973	328
938	4976	323
939	4979	317
940	4982	312
941	4985	306
942	4988	301
943	4992	296
944	4994	290
945	4997	285
946	5000	279
947	5003	274
948	5006	269
949	5009	263
950	5012	258
951	5015	252
952	5018	247
953	5021	242
954	5025	236
955	5028	231
956	5030	226
957	5033	220
958	5036	215
959	5039	209
960	5042	204
961	5044	199
962	5047	193
963	5050	188
964	5053	183
965	5057	177
966	5059	172
967	5062	167
968	5065	162
969	5068	156
970	5071	151
971	5074	146
972	5077	140
973	5079	135
974	5082	130
975	5085	125
976	5088	119
977	5091	114
978	5094	109
979	5097	104
980	5099	98
981	5102	93
982	5105	88
983	5108	83
984	5111	77
985	5114	72
986	5116	67
987	5119	62
988	5122	56
989	5125	51
990	5128	46
991	5131	41
992	5134	36
993	5137	31
994	5140	25
995	5143	20
996	5146	15
997	5149	10
998	5151	5
999	5154	0
